brand_id,size_id,price,bar_id,published
24,4,3,,true
32,4,3,,true
32,3,5,,true
33,5,5,,true
53,4,4.5,,true
15,4,4.5,,true
63,4,3.5,,true
11,1,1.2,111,true
34,1,1.3,111,true
33,5,3.7,111,true
24,4,3.3,111,true
25,4,2.2,111,true
12,4,2.5,111,true
44,4,2.2,111,true
16,4,3.3,111,true
53,4,3.5,111,true
6,4,3,111,true
6,1,1.3,111,true
24,15,3.2,97,true
33,15,3.2,97,true
53,15,3.2,97,true
78,15,2.5,97,true
74,15,2.2,97,true
66,13,2.75,100,true
72,13,3.25,100,true
67,13,3.35,100,true
18,1,1.5,101,true
18,2,2.75,101,true
18,6,3.75,101,true
33,5,5,101,true
16,4,3.5,101,true
25,4,2.75,101,true
38,4,3,101,true
7,4,3.3,101,true
73,4,3.5,101,true
68,5,5,101,true
29,1,1.5,,true
29,2,2.1,,true
29,6,3.4,,true
69,4,2.5,,true
70,4,2.7,,true
77,4,2.5,,true
24,5,5,116,true
24,4,3,116,true
32,4,3,116,true
32,3,5,116,true
33,5,5,116,true
53,4,4.5,116,true
15,4,4.5,116,true
63,4,3.5,116,true
73,15,2,116,true
72,4,4.5,116,true
74,4,3,116,true
75,4,5,116,true
76,4,5,116,true
49,15,2.5,116,true
49,12,3.5,116,true
73,12,3,116,true
29,1,1.5,,true
29,2,2.9,,true
29,4,2.9,,true
29,1,1.4,,true
29,2,2.4,,true
20,4,2.4,,true
29,1,1.3,,true
29,6,3.5,,true
18,1,1.2,,true
18,2,2.2,,true
18,4,2,,true
18,6,4,,true
38,3,1.4,,true
29,3,1.4,,true
38,1,1.2,,true
38,2,1.6,,true
38,6,2.2,,true
29,3,1.3,,true
25,4,2.5,,true
40,4,3,,true
29,1,1.55,,true
29,2,2.95,,true
2,4,3.1,,true
29,6,4.3,,true
20,1,1.3,,true
20,2,2.25,,true
71,4,2.25,,true
20,6,3.5,,true
29,1,1.3,,true
29,2,2.2,,true
29,6,2.9,,true
29,4,2.2,,true
25,4,3,,true
25,2,2.5,,true
29,1,1.2,,true
29,2,2.2,,true
29,6,3.8,,true
29,4,1.5,,true
35,1,1,,true
29,1,1.5,354,true
29,2,2.9,354,true
29,4,2.9,354,true
29,1,1.4,355,true
29,2,2.4,355,true
20,4,2.4,355,true
29,1,1.3,,true
29,6,3.5,,true
18,1,1.2,357,true
18,2,2.2,357,true
18,4,2,357,true
18,6,4,357,true
38,3,1.4,357,true
29,3,1.4,357,true
38,1,1.2,358,true
38,2,1.6,358,true
38,6,2.2,358,true
29,3,1.3,358,true
25,4,2.5,358,true
40,4,3,358,true
29,1,1.2,,true
29,2,2.2,,true
29,6,3.8,,true
29,4,1.5,,true
35,1,1,,true
29,1,1.55,362,true
29,2,2.95,362,true
2,4,3.1,362,true
29,6,4.3,362,true
29,1,1.2,361,true
29,2,2.2,361,true
29,6,3.8,361,true
29,4,1.5,361,true
35,3,1,361,true
20,1,1.3,359,true
20,2,2.25,359,true
71,4,2.25,359,true
20,6,3.5,359,true
25,4,3,,true
25,2,2.5,,true
29,1,1.3,360,true
